INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('BG-BAE0009', '001', 'Front fascia and header panel', 'installed', '8.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0171', '002', 'Brake disc', 'installed', '25.66', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEIS0082', '002', 'Magneto', 'installed', '62.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-ICS0161', '002', 'Seat cover', 'installed', '77.51', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0000', '001', 'Bonnet/hood', 'received', '136.17', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0001', '001', 'Bumper', 'received', '51.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0101', '001', 'Manifold absolute pressure sensor', 'installed', '77.78', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0171', '004', 'Brake disc', 'installed', '64.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0009', '001', 'Front fascia and header panel', 'installed', '66.02', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEAD0042', '001', 'Antenna cable', 'installed', '62.05', '5');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0148', '001', 'Speedometer calibrator', 'installed', '40.20', '3');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-ICS0156', '001', 'Children and baby car seat', 'installed', '52.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0003', '005', 'Exposed bumper', 'installed', '19.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0113', '005', 'Oil level sensor', 'installed', '34.18', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEWH0129', '005', 'Engine compartment harness', 'installed', '13.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0016', '001', 'Spoiler', 'installed', '122.63', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEGAM0068', '001', 'Speedometer', 'ordered', '69.68', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0189', '001', 'Hold-down springs', 'received', '10.78', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0144', '002', 'Relay connector', 'installed', '4.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0094', '003', 'Anti-pinch sensor', 'received', '31.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0107', '003', 'Temperature sensor', 'installed', '27.57', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-ICS0162', '003', 'Seat track', 'installed', '14.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0168', '003', 'Brake backing plate', 'received', '26.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0004', '001', 'Cowl screen', 'installed', '71.23', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAED0024', '001', 'Outer door handle', 'installed', '144.94', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0186', '001', 'Caliper', 'installed', '144.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEIS0081', '001', 'Ignition controller', 'installed', '136.90', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0096', '001', 'Crankshaft position sensor', 'installed', '121.50', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAES0121', '001', 'Ignition Switch', 'installed', '24.90', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0014', '001', 'Rocker panel', 'installed', '11.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0190', '001', 'Hose', 'installed', '14.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAEW0033', '001', 'Glass', 'installed', '28.09', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEESS0059', '001', 'Battery plate', 'installed', '137.03', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0193', '001', 'Brake duct hose', 'installed', '194.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0150', '003', 'Wiring connector', 'installed', '141.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEGAM0068', '001', 'Speedometer', 'installed', '6.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEIS0082', '001', 'Magneto', 'installed', '7.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEIS0075', '002', 'Coil wire', 'installed', '64.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-ICS0159', '002', 'Seat Belt', 'installed', '30.62', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0171', '005', 'Brake disc', 'installed', '96.70', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0173', '005', 'Brake line', 'installed', '0.54', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-BAE0020', '001', 'Trunk', 'installed', '76.16', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEESS0058', '001', 'Battery control system', 'received', '4.26', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0177', '001', 'Brake pump', 'installed', '46.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0189', '001', 'Hold-down springs', 'ordered', '48.59', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAECS0050', '001', 'Alternator bracket', 'installed', '151.84', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0136', '001', 'Cruise control computer', 'installed', '150.16', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-PACBS0190', '001', 'Hose', 'installed', '77.05', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0134', '004', 'Central locking system', 'ordered', '110.58', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEGAM0063', '003', 'Clinometer', 'installed', '28.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0135', '003', 'Chassis control computer', 'installed', '29.70', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAEM0144', '004', 'Relay connector', 'ordered', '19.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('KX-EAELASS0088', '001', 'Interior light and lamp', 'ordered', '102.40', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAED0028', '001', 'Door watershield', 'installed', '72.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0092', '001', 'Tail light cover', 'installed', '20.87', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEM0139', '001', 'Engine control unit', 'installed', '59.71', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEESS0058', '002', 'Battery control system', 'received', '72.84', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0087', '002', 'Headlight motor', 'installed', '52.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0101', '002', 'Manifold absolute pressure sensor', 'ordered', '63.29', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-ICS0162', '002', 'Seat track', 'installed', '74.07', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0002', '005', 'Unexposed bumper', 'received', '89.63', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAECS0051', '001', 'Alternator fan', 'installed', '6.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0193', '001', 'Brake duct hose', 'installed', '38.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAED0023', '001', 'Door beam and panel', 'installed', '2.60', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0020', '003', 'Trunk', 'installed', '3.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0084', '003', 'Fog Light', 'installed', '14.40', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0085', '003', 'Halogen', 'installed', '25.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0107', '003', 'Temperature sensor', 'installed', '30.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0003', '004', 'Exposed bumper', 'installed', '7.88', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0007', '004', 'Fender Musical Instruments Corporation', 'installed', '2.48', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEGAM0070', '004', 'Temperature gauge', 'installed', '4.88', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEAD0043', '001', 'Radio and media player', 'ordered', '138.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEM0142', '001', 'Performance chip', 'ordered', '41.68', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEGAM0065', '001', 'Fuel gauge', 'installed', '28.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0184', '001', 'Brake warning light', 'installed', '17.83', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0011', '002', 'Pillar and hard trim', 'installed', '5.00', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEM0134', '002', 'Central locking system', 'installed', '166.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0101', '002', 'Manifold absolute pressure sensor', 'installed', '19.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0179', '002', 'Brake rotor', 'installed', '3.30', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEAD0043', '002', 'Radio and media player', 'ordered', '23.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0083', '002', 'Engine bay lighting', 'received', '16.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAESS0116', '002', 'Starter drive', 'installed', '19.43', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0018', '003', 'Rear spoiler', 'received', '41.51', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-ICS0157', '003', 'Fastener', 'ordered', '64.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAECS0051', '005', 'Alternator fan', 'installed', '84.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-ICS0156', '005', 'Children and baby car seat', 'installed', '150.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEESS0060', '003', 'Battery tray', 'installed', '10.09', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0090', '003', 'Side lighting', 'installed', '10.49', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0111', '003', 'MAP sensor', 'installed', '15.76', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEESS0061', '002', 'Voltage regulator', 'installed', '27.40', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEGAM0068', '002', 'Speedometer', 'ordered', '41.01', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEESS0059', '001', 'Battery plate', 'installed', '12.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0086', '001', 'Headlight', 'installed', '4.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0172', '001', 'Brake drum', 'installed', '26.61', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0190', '001', 'Hose', 'installed', '18.64', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0175', '001', 'Brake pedal', 'ordered', '80.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0015', '003', 'Roof Rack', 'installed', '2.41', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0125', '003', 'Switch panel', 'received', '13.78', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0011', '001', 'Pillar and hard trim', 'installed', '94.75', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0183', '001', 'Shoe web', 'installed', '67.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEAD0047', '002', 'Subwoofer', 'installed', '11.97', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEESS0053', '002', 'Battery', 'installed', '18.42', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0021', '001', 'Valance', 'received', '54.30', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAEW0033', '001', 'Glass', 'installed', '82.30', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-ICS0157', '001', 'Fastener', 'installed', '38.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0089', '002', 'License plate lamp', 'installed', '95.29', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0108', '002', 'Transmission input and output sensor', 'ordered', '29.84', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0123', '002', 'Steering column switch', 'installed', '32.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0174', '002', 'Brake pad', 'received', '64.03', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-PACBS0165', '004', 'Adjusting mechanism', 'installed', '41.52', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-BAE0004', '005', 'Cowl screen', 'installed', '31.48', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEAD0041', '005', 'Antenna assembly', 'installed', '0.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAELASS0088', '005', 'Interior light and lamp', 'installed', '0.92', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0120', '005', 'Door switch', 'installed', '37.73', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEAD0041', '003', 'Antenna assembly', 'installed', '21.36', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0106', '003', 'Rotational sensor', 'received', '29.37', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAES0126', '003', 'Thermostat', 'installed', '1.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('NX-EAEWH0130', '003', 'Interior harness', 'received', '3.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0167', '002', 'Bleed nipple', 'installed', '34.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAE0002', '001', 'Unexposed bumper', 'installed', '65.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEESS0060', '001', 'Battery tray', 'installed', '81.18', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0109', '001', 'ABS brack sensor', 'installed', '92.05', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0153', '001', 'Armrest', 'installed', '60.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAEW0036', '003', 'Window motor', 'installed', '69.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0142', '003', 'Performance chip', 'installed', '87.61', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAE0012', '001', 'Quarter panel', 'received', '39.71', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0062', '001', 'Ammeter', 'ordered', '66.44', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAELASS0087', '001', 'Headlight motor', 'received', '98.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0154', '001', 'Bench Seat', 'ordered', '42.20', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAE0003', '001', 'Exposed bumper', 'installed', '13.30', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0024', '001', 'Outer door handle', 'installed', '21.79', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0110', '001', 'TDC sensor', 'installed', '73.65', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0159', '001', 'Seat Belt', 'installed', '84.69', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAELASS0084', '003', 'Fog Light', 'installed', '72.99', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0137', '003', 'Door contact', 'installed', '106.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0171', '003', 'Brake disc', 'installed', '108.74', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAELASS0084', '002', 'Fog Light', 'installed', '58.60', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAELASS0086', '002', 'Headlight', 'installed', '89.33', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0194', '002', 'Hydraulic booster unit', 'installed', '83.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0143', '002', 'Performance Monitor', 'installed', '119.59', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0112', '002', 'IMA sensor', 'ordered', '136.03', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0026', '002', 'Door control module', 'installed', '48.37', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0073', '002', 'Voltmeter', 'installed', '19.97', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEIS0076', '002', 'Distributor', 'installed', '2.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEIS0077', '002', 'Electronic timing controller', 'installed', '24.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAEW0037', '001', 'Window regulator', 'installed', '34.16', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAEW0036', '001', 'Window motor', 'installed', '12.65', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0148', '001', 'Speedometer calibrator', 'installed', '32.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0157', '001', 'Fastener', 'installed', '23.69', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEIS0077', '001', 'Electronic timing controller', 'installed', '155.08', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0197', '001', 'Metering valve', 'installed', '85.12', '4');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0070', '004', 'Temperature gauge', 'installed', '119.13', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0132', '004', 'Air bag control module', 'installed', '110.77', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0157', '004', 'Fastener', 'installed', '18.14', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-ICS0161', '004', 'Seat cover', 'installed', '67.52', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEESS0053', '002', 'Battery', 'installed', '62.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0185', '002', 'Calibrated friction brake', 'installed', '67.89', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAE0014', '001', 'Rocker panel', 'installed', '49.98', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0025', '001', 'Inner door handle', 'installed', '59.24', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAEW0035', '001', 'Sunroof motor', 'installed', '84.15', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0030', '002', 'Door and bonnet', 'installed', '14.38', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0098', '002', 'Fuel level sensor', 'installed', '44.33', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0126', '002', 'Thermostat', 'installed', '58.55', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-10141', '002', 'Fuse Box: The Alternative Tribute', 'installed', '145.53', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEESS0061', '002', 'Voltage regulator', 'installed', '169.29', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEIS0079', '002', 'Ignition Coil', 'installed', '82.26', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0102', '002', 'Oxygen sensor', 'installed', '172.70', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0177', '003', 'Brake pump', 'installed', '37.51', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0190', '003', 'Hose', 'installed', '69.27', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0031', '001', 'Lock', 'installed', '66.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEESS0060', '001', 'Battery tray', 'installed', '27.11', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0062', '001', 'Ammeter', 'installed', '5.80', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEWH0131', '001', 'Underfloor harness', 'installed', '65.04', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAED0032', '001', 'Centre Locking', 'installed', '35.36', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0163', '001', 'Anti-lock braking system', 'installed', '52.25', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0180', '001', 'Brake servo', 'installed', '86.06', '2');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0190', '001', 'Hose', 'installed', '108.21', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0073', '004', 'Voltmeter', 'installed', '92.09', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0132', '004', 'Air bag control module', 'installed', '110.91', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEM0134', '004', 'Central locking system', 'installed', '204.52', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0190', '004', 'Hose', 'installed', '46.67', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEESS0060', '003', 'Battery tray', 'installed', '41.78', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0072', '003', 'Vacuum gauge', 'installed', '57.65', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-IFCAP0152', '003', 'Center console', 'installed', '22.50', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAES0095', '002', 'Camshaft position sensor', 'installed', '39.04', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-PACBS0189', '002', 'Hold-down springs', 'received', '24.05', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEGAM0062', '005', 'Ammeter', 'installed', '9.44', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-BAEW0039', '001', 'Windshield washer motor', 'installed', '6.06', '1');
INSERT INTO part (part_number, purchase_order_number, description, status, cost, quantity) VALUES ('OA-EAEAD0041', '001', 'Antenna assembly', 'installed', '16.02', '1');
